name,link,pwd,year,type_0腾飞杯1新生杯
2023.04.13腾飞杯（通院vs电院）,https://pan.baidu.com/s/151YiCetlzh6wiWasvollTQ?pwd=2p07,2p07,2023,0
2023.04.10腾飞杯（电院vs计算机）,https://pan.baidu.com/s/1F9QaBQVGDoDP4G4jRs5I_Q?pwd=9jg7,9jg7,2023,0
2023.04.03腾飞杯（电院vs数艺）,https://pan.baidu.com/s/1OlROLKxRXRB07RBov7uGGw?pwd=h0ti,h0ti,2023,0
2023.03.29腾飞杯（电院vs邮政）,https://pan.baidu.com/s/1XDdHZi6X_3MRQq-zu_XUsQ?pwd=e0oq,e0oq,2023,0
2023.03.27腾飞杯（电院vs自动化）,https://pan.baidu.com/s/124rTx69RZ3pveRpd5_Vi6g?pwd=uce9,uce9,2023,0
2023.03.22腾飞杯（电院vs经管）,https://pan.baidu.com/s/1sPm-VCx8-oyUipF_rqGJ0w?pwd=ti26,ti26,2023,0
2022.5.13腾飞杯（电院vs通院）,https://pan.baidu.com/s/10mSUxhTisLPAroQHCGY7uQ?pwd=wr1b,wr1b,2022,0
2022.5.12腾飞杯（自动化vs网安）,https://pan.baidu.com/s/1Innxd4HA4hBjDSx_8tb-GQ?pwd=q29u,q29u,2022,0
2022.5.11腾飞杯（电院vs网安）,https://pan.baidu.com/s/1nNmh56pyW8A3PxO-uQLFaw?pwd=6zj8,6zj8,2022,0
2022.5.6腾飞杯（电院VS理学院）,https://pan.baidu.com/s/1qi8pzB6jxdSWtB8disjwfg?pwd=exod,exod,2022,0
2022.5.5腾飞杯（电院VS自动化）,https://pan.baidu.com/s/1wHJvAXGwfkP_Wxt-zX4CAQ?pwd=7lh3,7lh3,2022,0
2021.4.19腾飞杯（经管VS电院）女篮,https://pan.baidu.com/s/1qKtnwJPSWqmvRNG781zxAw?pwd=wxnb,wxnb,2021,0
2021.4.12腾飞杯（邮政VS理学院）,https://pan.baidu.com/s/10jJnAlS9tpC1HDo8ud7sSg?pwd=wxnb,wxnb,2021,0
2021.4.9腾飞杯（经管VS自动化）,https://pan.baidu.com/s/1no4SvZOWsb2BPh6SP2ZIdA?pwd=wxnb,wxnb,2021,0
2021.4.7腾飞杯（经管VS通院）,https://pan.baidu.com/s/1xqVWqEOuzfXZSqT3kPGdfA?pwd=wxnb,wxnb,2021,0
2021.4.2腾飞杯（邮政VS通院）,https://pan.baidu.com/s/1MoANsU1ohSlLtI9DL_cpdQ?pwd=wxnb,wxnb,2021,0
2021.3.31腾飞杯（经管VS邮政）,https://pan.baidu.com/s/1ItnrRkxd4rqyElc5slERxQ?pwd=wxnb,wxnb,2021,0
