name,link,pwd,year,type_0腾飞杯1新生杯
2021，2022年汇总,https://pan.baidu.com/s/1yUtESmWX4j9QJG4sTd2OsA?pwd=wxnb,wxnb,2022,1
2022.11.19新生杯（自动化vs通院）,https://pan.baidu.com/s/1eSCKnkZa1FRs6a4Cs98GdA?pwd=ao08,ao08,2022,1
2022.11.17新生杯（电院vs计算机）,https://pan.baidu.com/s/1LTMOosnAWdh35NAkEQBSFA?pwd=7rf5,7rf5,2022,1
2022.11.16新生杯（自动化vs电院）,https://pan.baidu.com/s/1HBOkpEliiMxIv9MPMPJfoA?pwd=bfx8,bfx8,2022,1
2022.11.11新生杯（自动化vs通院）,https://pan.baidu.com/s/1so-Rj67NWyjSKlF9hvpofQ?pwd=wc1i,wc1i,2022,1
2022.11.10新生杯（电院vs理学院）,https://pan.baidu.com/s/1AdUfZr2BVKuL8RYyKIZtSA?pwd=amdk,amdk,2022,1
2022.11.7新生杯（自动化vs网安）,https://pan.baidu.com/s/1NF2lZmaImiyg8JCu3LVrpA?pwd=m1yg,m1yg,2022,1
2022.11.4新生杯（计算机vs电院）,https://pan.baidu.com/s/1D7guYQL6KDp7KCp7Skw4kg?pwd=epkf,epkf,2022,1
2022.11.3新生杯（通院vs网安）,https://pan.baidu.com/s/1tp9G5GFKC_VtOFWx-bZcKg?pwd=5zem,5zem,2022,1
2022.11.1新生杯（电院vs数艺）,https://pan.baidu.com/s/1K4HsXxZoN1tf9II2khcJow?pwd=0jbd,0jbd ,2022,1
2021.11.24新生杯（电院vs研院）女篮,https://pan.baidu.com/s/1uT9bvVbJmIaG7m3epLVWjw?pwd=wxnb,wxnb,2021,1
2021.11.24新生杯（电院vs研院）男篮,https://pan.baidu.com/s/1bkMtEtKyBiVKB4SY_fh0tQ?pwd=8hvc,8hvc,2021,1
2021.11.5新生杯（经管vs电院）,https://pan.baidu.com/s/17uW35yKghkFMdwpmLldHcQ?pwd=40ou,40ou,2021,1
2021.10.19新生杯（邮政VS人外）,https://pan.baidu.com/s/12t4z3r-oN23cyt3vT-lX8g?pwd=wxnb,wxnb,2021,1
